articles,bhd,million,share,said,year,price,thi,cimb,market,wa,bank,stock,group,ha,research,billion,malaysia,compani,hold,profit,also,sen,expect,net,invest,s,earn,trade,last,us,target,financi,growth,time,per,say,higher,note,manag,valu,valuat,would,analyst,may,today,first,investor,base,point,end,revenu,lower,edg,new,quarter,rate,fund,oil,close,index,due,kuala,increas,lumpur,report,rose,oper,fundament,asset,product,2014,cost,could,remain,week,strong,howev,month,continu,high,one,busi,2015,klci,posit,two,industri,sale,buy,project,current,declin,gain,like,maintain,call,sector,30,develop,capit
205,2,0,2,1,0,3,0,2,2,4,2,2,1,0,0,2,3,0,1,0,1,1,0,0,0,2,0,1,0,8,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3,1,1,0,1,1,1,2,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,1,2,1,0,0,0,0,1,0
206,2,1,1,3,0,2,1,2,0,0,1,1,1,0,2,0,0,0,3,0,0,5,2,0,0,0,0,1,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0
207,2,0,0,0,3,10,4,0,0,2,0,2,3,5,0,3,0,2,0,0,1,0,2,0,0,0,1,0,0,5,1,1,0,0,2,0,0,0,4,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,2,1,0,0,0,3,0,4,0,1,0,1,0,0,1,0,0,0,3,1,0,1,0,2,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
208,1,1,7,5,6,0,2,16,0,1,10,1,4,0,0,9,0,0,1,3,2,0,0,4,0,10,1,1,1,0,1,2,2,0,3,0,1,1,2,1,0,1,0,0,4,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,1,1,4,1,0,1,1,0,1,0,0,4,0,1,0,0,1,0,1,0,2,2,2,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,5
209,0,1,0,0,0,2,2,2,0,1,0,2,2,1,1,0,0,1,0,0,2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,4,0,0,0,1,0,1,0,0,3,3
210,8,5,1,4,4,1,7,1,2,9,19,1,6,9,0,0,2,3,1,3,0,1,0,1,7,0,0,0,5,0,0,1,0,3,0,5,0,0,4,2,0,9,2,1,0,3,4,0,0,1,0,1,4,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,4,0,1,0,5,0,2,2,2,4,2,1,2,5,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,2,2
211,1,1,1,0,4,2,2,1,2,1,0,1,0,0,1,2,0,1,0,2,4,0,7,3,0,0,2,2,0,1,0,2,1,4,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,1,1,3,0,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,1,0,0,0,1,3,0,0,0,0,0,0,2,2,6,1,0,0
212,6,13,0,9,4,0,1,1,5,4,0,1,2,0,6,2,1,0,2,0,4,0,1,7,0,0,0,2,10,4,0,0,1,0,0,1,1,3,0,1,0,0,0,0,0,1,3,2,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,2,1,0,0,0,1,0,0,0,2,6,2,0,0,0,0,0,0,0,0,1,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0
213,0,1,2,0,1,4,2,4,0,0,0,2,0,1,1,0,0,1,0,0,0,0,2,0,0,0,1,2,0,0,1,0,1,0,1,1,2,1,0,0,0,0,2,0,0,4,0,0,0,0,0,1,0,0,1,0,0,6,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0
214,1,2,2,6,0,1,0,4,1,4,0,4,1,0,4,0,0,0,1,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
215,23,20,12,8,18,22,4,2,9,7,4,11,6,22,19,6,5,7,6,8,14,1,25,8,10,0,13,2,10,11,8,9,13,3,7,0,3,4,5,3,0,2,3,1,0,3,5,3,4,8,7,2,3,2,7,3,2,10,6,0,2,0,6,0,3,1,4,0,2,7,0,1,7,3,0,4,1,1,2,2,8,1,1,1,3,2,7,4,8,7,1,2,0,5,1,11,10,7,1,2
