articles,million,bhd,said,share,year,wa,petrona,ha,price,market,stock,group,thi,compani,billion,sen,malaysia,contract,oil,s,us,trade,profit,expect,ga,includ,project,also,research,today,per,net,klci,point,valu,sdn,develop,last,earn,revenu,valuat,kuala,fbm,lumpur,end,hold,time,higher,activ,quarter,financi,servic,lower,close,base,say,new,bank,may,first,fundament,oper,investor,current,would,note,bursa,due,index,secur,invest,rose,accord,gainer,2015,ad,fell,product,industri,busi,counter,posit,edg,score,two,rate,corp,gain,construct,could,capit,remain,manag,percent,local,offshor,one,announc,asset,report
209,3,26,3,2,0,3,3,2,0,2,2,5,0,0,0,1,1,0,0,1,2,2,0,0,1,3,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,2,2,2,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,1,1,2,0,0,2,0,2,0,2,0,0,0,0,0,0,2,0,0,3,2,0,0,0,0,0,0,0,1
210,1,1,4,2,0,2,1,0,7,0,2,2,0,2,4,2,1,5,6,0,1,2,0,0,2,0,1,1,3,1,4,0,0,0,1,0,0,1,2,1,1,1,0,1,0,0,5,0,1,0,0,0,5,0,1,0,2,0,0,0,0,0,0,3,0,3,1,0,0,0,0,1,0,0,0,1,0,0,2,0,2,1,0,0,0,2,0,0,0,1,0,1,0,0,1,0,1,1,0,0
211,13,7,1,2,0,0,2,4,2,0,1,1,1,7,1,0,2,16,4,0,6,0,0,4,1,0,3,1,0,1,0,0,0,0,3,6,3,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0,4,0,0,1,0,1,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,4,2,1,0,0
212,7,3,1,8,2,2,1,1,2,1,1,0,3,2,0,1,1,0,1,2,0,2,2,3,1,0,0,0,0,2,1,0,0,0,0,2,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,2,0,0,0,0,0
213,17,21,9,22,3,6,1,14,7,13,2,5,3,8,11,10,9,8,2,9,2,0,0,2,1,2,3,2,0,8,0,0,0,0,2,5,2,3,0,0,1,1,0,1,0,4,0,3,1,1,0,0,1,7,2,0,5,0,1,4,0,0,1,1,1,0,5,0,0,0,2,0,1,0,1,0,0,1,0,0,1,1,0,0,4,0,0,0,2,1,2,0,0,0,0,1,4,4,1,0
214,0,6,1,1,0,3,1,1,6,3,4,1,0,0,2,0,2,0,7,2,5,2,0,0,0,1,1,1,1,4,1,0,3,2,0,1,0,1,1,0,0,2,1,2,0,0,0,0,1,0,0,0,2,1,0,0,0,2,0,0,0,0,1,1,1,0,1,1,1,0,0,2,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,3
215,15,11,1,0,6,4,13,10,3,1,1,2,6,2,2,3,2,3,6,0,9,0,1,0,5,0,3,1,1,0,0,2,0,0,1,4,1,2,4,3,0,0,0,0,0,1,2,0,0,3,1,0,2,1,0,3,1,0,1,3,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,3,0,0,0,3,0,1,0,1,0,0,1,1,0,1,0,3,0,1,0,4,1
216,0,1,3,0,0,0,0,1,3,1,1,1,1,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0
217,1,2,0,1,0,3,2,1,2,0,0,0,0,3,0,2,0,1,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,4
218,2,22,6,3,0,3,2,1,1,1,3,1,0,0,1,2,0,0,1,2,1,2,1,0,1,3,0,1,1,1,0,2,5,1,0,0,0,0,2,0,1,2,4,2,0,2,0,1,2,0,0,0,3,1,0,0,0,2,2,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1
219,0,8,4,1,2,2,5,2,4,2,6,2,3,5,5,1,0,2,6,0,6,0,1,2,1,0,0,2,5,0,3,1,1,1,1,0,0,0,4,0,2,1,1,1,1,1,2,0,0,1,2,1,1,1,2,0,1,0,1,1,2,2,1,0,1,2,0,0,0,2,1,0,1,1,2,3,0,0,1,0,3,1,2,0,1,2,0,0,0,0,1,4,0,0,0,1,0,0,0,1
220,1,1,5,0,1,1,2,0,0,0,1,0,1,2,0,0,1,2,1,0,0,0,0,1,5,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
221,16,7,0,1,7,4,4,6,1,1,2,4,8,4,5,0,1,9,6,0,0,0,3,0,6,0,6,1,1,0,2,3,0,0,0,3,1,4,3,3,0,0,0,0,1,1,2,0,0,0,2,0,0,1,0,5,4,0,2,3,0,0,0,0,0,2,0,0,0,3,0,1,1,0,0,0,0,0,1,2,1,0,2,0,0,0,0,0,7,2,0,1,0,0,0,1,0,0,0,0
222,1,4,5,2,1,1,2,1,1,0,0,3,0,0,0,2,3,1,2,0,0,0,0,2,1,1,2,0,2,1,1,1,0,0,1,2,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,2,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2,1,0
223,4,3,3,3,4,2,4,1,1,1,2,2,1,6,1,3,3,0,3,0,0,0,1,1,1,1,0,2,0,1,1,2,0,0,0,1,0,2,4,1,0,1,0,1,1,6,1,0,2,0,5,1,0,0,0,0,2,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,3,0,0,0,0,2,3,0,0,1,1,0,0,0,0,0,0,1,3,0,0,0,1,4,3,2,1,1
224,1,24,5,2,1,2,2,0,0,3,1,1,0,0,0,2,2,0,0,0,5,2,0,1,1,3,0,0,2,1,0,2,3,2,0,0,0,0,0,0,0,2,3,2,2,3,0,1,2,0,0,2,1,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,2,0,2,1,1,0,0,1,0,2,0,1,0,3,0,0,5,0,0,0,0,1
225,0,2,2,0,1,0,1,3,7,1,1,1,1,0,1,2,8,0,0,0,0,0,0,0,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
226,13,17,0,6,4,6,3,12,28,4,1,4,7,1,7,7,6,15,7,0,7,3,3,11,1,1,7,3,11,0,9,3,0,1,4,2,4,2,9,3,1,1,0,1,0,3,9,3,3,2,2,4,1,2,2,0,7,1,2,1,0,3,1,7,4,0,0,3,0,2,5,1,0,0,2,0,3,2,4,3,0,5,1,0,5,4,1,0,5,5,1,4,5,0,0,1,0,3,1,1
227,0,24,1,2,5,1,1,6,9,8,12,4,7,4,6,1,6,2,1,0,0,2,0,8,1,1,1,7,6,0,8,0,2,6,3,1,0,0,5,2,3,1,2,1,0,3,3,5,1,1,0,3,2,0,3,9,4,0,4,4,1,2,4,2,3,3,0,1,3,1,2,0,1,0,8,1,0,0,2,2,1,0,1,0,1,1,1,0,0,5,1,1,2,0,1,1,0,0,0,1
228,0,0,4,1,1,0,1,0,1,5,2,0,0,0,0,0,0,0,1,4,3,1,0,3,0,3,0,0,1,0,0,0,4,4,0,0,0,0,1,0,0,1,3,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1
229,0,8,4,2,0,3,2,2,0,2,5,0,1,0,2,0,3,0,0,1,2,2,0,0,2,1,0,1,0,3,0,0,2,2,1,1,0,0,0,0,0,2,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,1,0,2,0,1,0,0,3,0,2,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
230,1,0,6,2,0,1,1,1,0,3,3,0,1,0,1,0,1,0,0,1,0,2,0,2,1,3,0,0,1,0,0,0,3,1,1,0,0,1,0,0,0,1,3,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,1,1,2,0,0,1,0,1,0,2,0,0,0,0,0,1,3,0,0,1,1,0,0,2,0,0,0,0,0
231,2,4,0,2,0,5,2,0,2,3,2,0,0,0,0,0,3,0,6,4,4,1,0,0,3,1,0,0,0,1,0,0,3,4,0,0,0,1,2,0,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,5,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0,2
232,0,1,0,0,2,0,1,3,4,2,1,2,1,0,1,0,1,0,5,0,1,0,0,1,2,1,0,1,1,0,2,0,0,0,1,0,0,0,2,0,1,0,0,0,0,2,2,0,0,1,2,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,1,0,0,1,0,1,1,0,0,0,1,0,0,0
233,5,1,0,3,1,1,1,2,1,2,1,0,1,3,0,3,4,0,2,0,0,1,3,0,3,1,1,0,0,0,2,2,0,0,0,0,2,1,0,3,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
234,0,0,0,0,2,14,2,2,2,14,2,0,0,4,0,0,4,0,6,10,2,2,0,8,2,0,0,2,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,16,0,2,2,0,2,0,0,6,10,0,0,4,4,0,0,0,0,2,0,0,0,0,0,4,0,0,2,0,0,0,6,16,0,0,0,0,2,0,0,6,0,0,6,0,0,2,0,0,78,0,0,2,0,0,0
235,0,0,5,4,1,3,1,1,2,6,4,1,1,0,0,0,1,0,3,8,1,3,0,2,1,1,0,1,1,0,0,0,0,0,0,0,1,1,3,0,1,1,0,1,0,0,1,0,0,2,1,0,0,1,0,1,0,4,0,0,0,0,0,1,2,0,0,2,4,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,9,0,1,1,0,0,0
236,2,5,1,1,0,2,2,0,1,4,5,0,1,0,0,0,2,0,1,5,1,1,0,0,2,1,0,0,0,3,0,0,3,2,0,0,0,1,0,0,0,2,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,1,0,1,1,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,1
237,11,19,0,7,3,1,1,5,4,1,2,7,4,7,0,3,6,9,6,1,3,0,2,4,7,1,6,2,0,7,4,2,0,0,1,5,4,0,3,1,0,1,0,1,2,3,0,2,0,3,1,4,0,0,2,10,2,0,1,2,0,1,3,1,1,0,4,1,0,3,2,2,1,0,2,0,0,0,1,2,0,0,0,0,1,0,6,0,7,0,3,2,3,0,0,1,1,3,0,2
