articles,bhd,market,said,million,axiata,group,share,wa,malaysia,year,week,us,billion,point,s,stock,ha,thi,compani,last,also,klci,index,price,trade,sen,declin,today,net,profit,expect,fbm,servic,valuat,hold,financi,base,time,fundament,growth,increas,invest,averag,fell,revenu,research,per,earn,bank,oper,level,close,may,indic,oil,valu,higher,mobil,would,lower,celcom,bursa,two,end,includ,kuala,lumpur,score,busi,continu,top,move,say,note,howev,still,quarter,dollar,industri,investor,remain,rose,support,foreign,capit,number,2015,high,interest,provid,rate,dividend,telekom,global,friday,sdn,edg,loss,new,one
55,3,0,4,1,4,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,2,0,0,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
56,3,0,5,1,5,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,2,0,0,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
57,15,1,0,0,1,1,1,5,4,1,0,7,2,1,0,2,2,0,0,1,0,2,4,4,3,0,3,7,0,2,3,1,0,0,1,0,0,1,0,1,1,0,0,3,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,1,0,1,0,0,2,1,1,0,0,1,1,0,0,0,1,0,0,2,0,2,0,0,1,0,0,1,0,0,1,0,3,0,0,0,1,1,0,1,0,1
58,6,10,0,2,1,2,1,6,2,6,15,6,4,16,0,1,1,2,0,13,1,5,14,1,3,0,15,0,3,0,1,5,0,0,1,1,0,1,0,0,5,3,5,4,0,0,2,0,2,0,4,0,1,6,2,1,1,0,0,2,0,1,3,4,0,0,0,0,0,1,2,4,0,0,2,2,5,2,1,0,0,3,3,1,0,0,0,1,0,0,0,0,0,1,5,0,0,0,0,2
59,10,1,0,8,3,3,9,5,4,7,3,3,14,2,0,3,5,10,3,6,4,0,0,3,0,2,1,0,4,4,1,0,2,0,5,0,0,4,0,1,0,0,0,0,2,0,3,0,0,1,1,0,1,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,2,0,0,2,2,1,0,0,1,0,0,0,1,0,3,0,2,1,0,1,0,8,2,0,1,0,0,0,1,0
60,10,2,4,0,1,1,2,1,0,0,0,4,0,4,3,2,0,0,0,1,0,4,2,1,2,0,1,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,3,1,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0
61,7,11,0,3,1,1,3,4,4,0,18,11,4,16,0,1,0,3,1,8,1,6,12,1,4,0,3,0,2,0,1,6,0,0,1,1,0,1,1,0,10,2,8,2,0,0,2,0,2,0,6,1,1,3,2,1,0,0,1,0,0,2,4,0,1,0,0,0,0,2,2,8,0,0,4,5,0,5,1,0,0,3,1,2,0,0,0,0,3,1,3,0,0,1,5,1,0,0,0,1
62,6,14,0,3,1,3,2,7,4,0,18,7,4,14,0,1,2,2,0,13,2,4,11,1,5,0,7,0,4,0,3,4,0,0,1,1,0,1,0,0,3,0,5,10,0,0,3,0,0,0,4,3,2,6,2,1,0,0,0,1,0,2,1,1,0,0,0,0,0,2,2,2,0,0,2,0,0,3,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0
63,7,17,0,2,1,3,2,4,2,0,23,8,4,16,0,2,3,4,0,15,3,6,11,2,4,0,11,0,1,0,4,6,0,0,0,3,0,1,0,0,6,2,6,6,0,0,2,0,0,0,2,0,3,3,3,1,1,0,0,0,0,2,1,2,0,0,0,0,0,1,2,3,0,0,1,4,0,3,1,0,0,1,4,2,0,0,0,0,0,0,1,0,0,0,9,1,1,0,0,2
64,3,0,0,6,1,0,3,6,0,3,0,0,1,0,0,1,4,2,5,0,1,0,0,1,0,2,0,0,4,1,1,0,3,0,1,1,0,2,0,2,0,0,2,0,3,1,5,1,0,1,0,0,1,0,0,1,1,0,0,0,3,0,2,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,3,1,2,0,0,0,0,0,0,2,0
