articles,million,bhd,said,share,wa,year,price,petrona,ha,stock,market,sen,compani,oil,group,billion,thi,s,contract,malaysia,profit,trade,research,ga,also,includ,us,expect,today,project,net,revenu,hold,klci,per,end,valu,earn,sdn,quarter,last,kuala,lumpur,develop,valuat,fbm,activ,higher,note,point,may,new,base,time,financi,oper,lower,servic,product,first,fundament,close,investor,due,counter,accord,manag,bank,bursa,would,gain,say,top,gainer,work,fell,secur,2015,31,remain,score,rate,current,construct,rose,industri,report,invest,busi,edg,ad,one,continu,two,unit,high,local,target,index,month
198,9,22,10,1,4,13,1,4,13,2,4,0,4,0,15,3,6,11,12,4,3,1,1,3,7,3,0,5,9,8,2,5,4,0,0,4,3,2,5,0,1,2,1,3,11,0,0,0,2,0,2,4,4,1,4,4,0,0,2,1,11,0,0,2,0,0,3,2,2,3,0,0,0,0,4,0,0,7,3,0,3,1,2,8,1,2,1,0,1,1,3,1,2,2,1,1,0,3,0,1
199,1,3,5,1,0,3,0,5,2,1,1,2,3,0,1,0,1,3,6,1,1,0,1,0,2,0,0,1,2,0,1,0,0,0,0,1,3,1,2,0,0,1,1,0,3,0,0,1,1,0,0,0,3,0,1,1,0,3,0,0,3,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,3,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
200,0,9,0,7,2,3,19,4,2,8,0,0,9,25,1,0,6,0,2,2,2,0,5,10,1,0,3,4,0,3,1,1,1,0,3,3,0,10,0,3,1,0,0,0,2,0,2,0,4,0,1,0,1,2,0,2,1,3,0,1,3,0,2,1,0,0,2,0,0,1,1,9,0,0,0,0,0,1,2,2,0,0,2,1,0,0,2,0,1,1,0,2,1,2,0,0,1,1,0,2
201,2,3,4,1,0,4,0,2,1,1,2,2,3,1,1,0,2,0,9,2,1,0,1,1,1,2,0,2,0,0,1,0,0,0,0,1,1,1,2,0,0,1,1,0,3,0,0,0,0,0,0,2,2,0,3,2,0,0,0,1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,2,1,0,5,0,2,0,0,1,0,0,0,2,1,1,2,1,0,0,0,0,0,0
202,9,2,1,7,0,3,3,1,0,2,1,6,1,4,1,0,2,2,1,1,3,0,1,1,2,0,0,3,1,0,2,2,0,0,6,3,1,0,0,1,0,1,1,1,3,0,5,2,1,0,0,1,2,0,1,2,1,3,3,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,2,0,3,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
203,1,3,2,2,0,4,1,4,2,1,0,2,1,0,0,1,0,2,1,0,1,0,4,1,2,1,1,0,1,0,0,0,0,0,0,1,1,2,1,0,0,1,1,0,3,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
204,1,2,3,0,1,1,0,3,2,1,0,0,2,1,1,1,5,0,0,0,1,0,1,0,2,0,1,2,0,1,0,0,0,0,0,0,2,0,1,2,0,1,1,0,3,0,0,0,0,0,0,2,2,0,2,1,0,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,1,0,2,0,0,0,2,0,1,0,0,0,2,0,0,0,0
205,1,3,2,2,0,5,0,5,3,1,1,1,3,1,0,4,1,0,1,1,1,1,1,2,5,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,3,0,0,1,0,0,0,3,2,3,1,0,0,0,0,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,1,0,0,0,2,2,0,0,0,1,0,0,0,0,0
206,1,3,2,2,0,5,0,5,4,1,1,1,3,1,0,3,0,1,1,1,1,1,1,2,5,0,2,1,2,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,3,0,0,1,1,0,0,3,2,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0
207,1,2,3,0,1,1,0,3,2,1,0,0,1,1,1,1,4,1,0,0,1,0,1,0,2,0,1,2,1,1,0,0,0,0,0,0,2,0,1,2,0,1,1,0,3,0,0,0,1,0,0,2,2,0,0,1,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,2,0,0,0,1,0,1,0,0,0,2,0,0,0,0
208,1,3,0,6,1,10,7,5,3,5,1,3,7,9,0,0,12,0,6,1,1,2,3,5,3,0,5,0,0,2,1,0,0,0,4,1,4,3,0,0,3,0,0,2,7,0,2,0,2,1,0,3,2,2,3,3,0,0,1,3,5,2,0,2,0,2,1,0,0,3,0,2,0,0,4,1,1,1,0,0,3,2,1,0,0,1,0,1,0,2,0,0,1,2,0,1,0,0,0,2
209,0,3,4,3,6,3,13,5,0,2,0,2,1,4,1,1,0,1,0,0,3,0,8,0,1,0,0,4,1,0,0,2,0,0,2,1,1,2,2,2,1,1,1,0,3,0,0,5,5,1,0,0,4,1,2,0,1,0,6,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0
210,0,25,4,1,1,0,0,2,0,1,6,0,0,1,3,0,0,1,0,3,0,1,2,1,0,3,1,1,0,0,0,0,3,4,0,0,0,0,0,0,1,2,2,2,0,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,1,0,0,1
211,0,1,3,0,0,0,2,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
212,0,16,4,2,4,0,4,1,5,5,3,2,2,5,0,2,0,1,0,5,0,1,1,0,3,1,2,0,5,0,0,0,2,3,1,1,0,0,0,0,0,2,2,0,0,2,0,0,1,3,0,0,0,2,1,0,0,1,0,0,0,1,3,0,2,0,0,0,0,2,0,0,3,2,0,3,0,0,1,2,0,2,0,0,0,2,1,0,0,0,5,2,1,0,0,0,2,0,2,0
213,0,2,3,2,2,0,4,6,0,1,0,0,2,5,1,0,1,1,0,0,2,1,1,4,5,1,0,6,1,0,0,0,0,0,0,1,1,0,0,3,0,1,1,0,5,0,0,0,1,0,0,0,2,0,4,0,4,0,0,0,5,0,3,0,2,0,2,1,0,2,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
214,1,2,0,4,1,2,3,0,6,4,0,2,3,3,1,2,2,0,0,1,1,1,2,3,1,0,0,0,0,5,0,0,1,0,0,0,2,1,1,0,2,0,0,0,3,0,0,0,2,0,0,0,2,0,1,1,0,1,0,1,3,2,1,1,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,1,3,0,0,2,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,1
215,6,5,13,0,5,4,1,1,6,1,1,0,1,0,5,3,3,0,1,1,0,0,0,0,1,0,0,3,2,14,0,0,1,0,0,0,2,0,2,2,1,2,2,7,0,0,0,0,1,0,1,0,2,2,3,0,0,0,0,3,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,2,0,0,1,1,6,0,0,0,0,0
216,1,1,2,2,0,1,6,1,2,3,0,1,1,0,1,0,0,2,0,0,1,0,6,0,2,0,1,0,5,0,0,0,1,0,0,0,1,2,0,0,1,1,1,0,3,0,0,0,5,0,0,0,3,0,0,0,2,0,1,0,4,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,1,0,1
217,1,5,0,2,0,4,4,3,1,1,1,0,0,3,1,2,1,0,4,0,0,0,0,1,0,0,3,1,0,2,0,0,1,0,4,0,2,2,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,2,2,1,0,2,0,2,0,1,0,0,0,0,1,2,0,0,0,0,1,0,1,0,1,4,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,2,0,0,0,1,0,1
218,5,9,4,4,2,3,3,0,4,1,0,0,3,1,1,0,1,0,2,1,1,0,1,0,2,0,2,0,1,1,0,1,1,0,2,1,3,0,1,0,2,1,1,3,8,0,0,1,0,0,1,1,5,0,5,0,0,3,0,1,9,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,2,2,3,0,0,1,0,2,0,1,0,2,0,0,0,1,0,0,1,0,0,0
219,13,25,6,11,4,4,6,1,7,1,2,6,4,2,5,0,3,2,6,0,6,0,1,1,3,0,2,0,4,1,4,5,3,0,3,4,5,0,2,2,2,1,1,4,12,0,3,2,2,0,1,1,6,0,4,2,0,5,0,1,12,1,0,1,0,1,1,1,3,0,0,1,0,0,0,2,1,0,3,3,3,1,0,2,2,4,0,1,1,1,0,0,0,1,1,0,2,0,0,2
220,2,3,2,2,0,3,3,1,1,1,1,1,1,4,3,0,0,1,4,1,1,1,1,0,1,0,2,2,3,1,1,0,0,0,3,1,1,1,2,0,0,1,1,0,3,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3,0,5,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
221,0,16,0,1,4,11,6,1,2,13,8,0,6,8,0,0,8,0,0,3,1,0,0,3,1,1,3,2,0,0,0,1,4,1,0,1,1,1,2,1,1,0,0,2,0,1,1,0,0,0,0,1,0,0,1,1,2,1,0,2,1,1,2,3,1,0,1,0,4,0,3,0,7,3,0,0,0,0,0,0,0,0,0,2,0,4,1,1,2,1,0,3,1,0,0,1,4,0,0,0
222,5,1,0,2,2,0,0,1,1,1,0,2,1,1,0,0,2,0,1,2,0,1,1,2,1,2,0,1,0,0,1,1,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,1,2,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,2,1,0,1,2,0,0,0,0,0,1,0,0,0,0
223,0,3,1,2,1,0,1,1,1,1,1,0,1,2,0,1,0,1,1,2,1,0,1,1,1,0,0,0,2,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,4,0,0,0,1,0,0,0,2,0,0,1,0,1,0,1,4,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
224,2,3,8,2,3,1,7,5,2,3,0,2,5,9,0,5,0,2,8,6,1,0,5,2,0,1,1,1,0,0,0,0,1,0,2,0,1,0,0,0,1,1,1,2,0,0,0,0,1,0,1,1,0,0,0,0,0,4,5,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,3,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0
225,0,1,9,0,1,1,7,1,5,5,6,0,1,7,0,0,1,2,0,1,2,2,0,0,4,0,7,5,2,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,4,0,0,4,1,0,1,0,1,0,2,0,3,0,0,1,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,6,0,5,0,3,0,0,0,0,0,2,0,0,0,0,7,1,0,0,0,0,0,0
