articles,bhd,said,million,share,year,price,cimb,thi,ha,market,wa,stock,bank,group,malaysia,research,billion,compani,expect,hold,also,s,profit,sen,earn,net,invest,trade,target,last,financi,us,growth,per,note,higher,would,analyst,say,time,today,point,may,manag,base,new,oil,end,valuat,first,rate,kuala,quarter,valu,investor,lumpur,fund,revenu,index,could,2015,due,high,edg,lower,declin,report,busi,close,asset,increas,klci,develop,sale,oper,fundament,project,sector,posit,week,product,current,remain,capit,maintain,call,month,one,cost,howev,2014,top,rose,industri,continu,fell,hous,like,secur,strong
703,0,2,3,3,0,0,1,0,0,0,2,1,0,0,2,1,0,0,0,0,0,2,2,2,0,0,0,2,2,0,0,1,0,0,0,1,0,0,0,1,0,1,3,0,0,0,0,0,0,2,0,1,0,1,1,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
704,0,2,3,3,0,0,1,0,0,0,2,1,0,0,2,1,0,0,0,0,0,2,2,2,0,0,0,2,2,0,0,1,0,0,0,1,0,0,0,1,0,1,3,0,0,0,0,0,0,2,0,1,0,1,1,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
705,0,3,0,0,0,3,2,0,1,0,2,1,0,0,0,3,0,0,2,3,0,0,1,1,1,1,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,2,0,0,0
706,1,8,1,2,2,3,1,3,2,1,1,3,1,0,0,2,1,0,0,0,0,0,4,1,5,3,1,1,1,0,0,0,4,1,1,3,0,3,0,1,2,0,2,1,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2
707,1,4,3,6,2,3,1,1,3,2,0,1,0,0,3,1,3,1,0,1,1,0,1,0,1,1,0,4,1,1,3,0,0,1,0,1,0,1,0,0,0,0,4,0,0,2,1,2,0,3,0,1,2,0,1,1,0,1,0,3,1,0,0,1,4,1,2,3,1,0,0,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0
708,1,3,0,0,0,2,1,0,1,1,1,1,0,0,1,2,0,0,2,0,1,0,1,0,1,1,0,0,4,0,0,0,1,0,1,3,0,0,0,2,0,1,2,0,0,2,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
709,2,6,2,2,0,1,1,3,1,1,0,1,1,0,0,2,5,1,1,0,2,0,1,1,1,1,1,0,1,0,0,0,0,2,1,0,2,4,1,0,2,0,2,0,1,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,5,0,1,0,1,0,0,0,2,2,0,0,0,1,0,0,1,1,0,0,0,0,1,0
710,2,6,2,2,0,1,1,3,1,1,0,1,1,0,0,2,5,1,1,0,2,0,1,1,1,1,1,0,1,0,0,0,0,2,1,0,2,4,1,0,2,0,2,0,1,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,5,0,1,0,1,0,0,0,2,2,0,0,0,1,0,0,1,1,0,0,0,0,1,0
711,2,6,2,2,0,1,1,3,1,1,0,1,1,0,0,2,5,1,1,0,2,0,1,1,1,1,1,0,1,0,0,0,0,2,1,0,2,4,1,0,2,0,2,0,1,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,5,0,1,0,1,0,0,0,2,2,0,0,0,1,0,0,1,1,0,0,0,0,1,0
712,2,6,0,4,1,2,2,1,0,1,0,2,1,0,1,2,0,1,0,1,1,5,0,0,1,0,1,2,1,0,0,0,0,1,3,1,2,2,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0
